256, 0,0,0,0,0,0,0,0,0,0,
512, 0,0,0,0,0,0,0,0,0,0,
1024, 2,2,2,2,2,2,2,2,2,2,
2048, 10,10,10,10,10,10,10,10,10,10,
4096, 49,49,47,48,49,47,49,48,50,47,
8192, 268,239,243,250,246,244,247,271,249,256,
16384, 1111,1105,1059,1065,1047,1051,1047,1065,1053,1034,
32768, 4445,4420,4395,4430,4588,4526,4454,4521,4378,4389,
65536, 18410,18378,18855,19439,18532,19037,18587,18398,18245,18428,
